姓名,悬赏金,所属组织,生日
"モンキー・D・ルフィ","30億ベリー","麦わらの一味","5月5日"
"ロロノア・ゾロ","11億1100万ベリー","麦わらの一味","11月11日"
"ナミ","3億6600万ベリー","麦わらの一味","7月3日"
"ウソップ","5億ベリー","麦わらの一味","4月1日"
"サンジ","10億3200万ベリー","麦わらの一味","3月2日"
"トニートニー・チョッパー","100ベリー","麦わらの一味","12月24日"
"ニコ・ロビン","9億3000万ベリー","麦わらの一味","2月6日"
"フランキー","9億4000万ベリー","麦わらの一味","3月9日"
"ブルック","3億3000万ベリー","麦わらの一味","4月3日"
"ジンベエ","11億ベリー","麦わらの一味","4月2日"
"シャンクス","40億4890万ベリー","赤髪海賊団","3月9日"
"エドワード・ニューゲート","50億4600万ベリー","白ひげ海賊団","4月6日"
"マルコ","13億7400万ベリー","白ひげ海賊団","3月16日"
"ポートガス・D・エース","5億5000万ベリー","白ひげ海賊団","1月1日"
"ジョズ","10億ベリー","白ひげ海賊団","11月11日"
"ギルド・ティーチ","22億4760万ベリー","黒ひげ海賊団","8月3日"
"カイドウ","46億1110万ベリー","百獣海賊団","5月1日"
"キング","13億9000万ベリー","百獣海賊団","-"
"クイーン","13億2000万ベリー","百獣海賊団","-"
"ジャック","10億ベリー","百獣海賊団","-"
"ブルージャン","43億8800万ベリー","ビッグ・マム海賊団","2月15日"
"カタクリ","10億5700万ベリー","ビッグ・マム海賊団","11月25日"
"クラッカー","8億6000万ベリー","ビッグ・マム海賊団","-"
"ドンキホーテ・ドフラミンゴ","3億4000万ベリー","ドンキホーテ海賊団","10月23日"
"クロコダイル","19億6500万ベリー","バロックワークス","9月5日"
"バギー","31億8900万ベリー","バギー海賊団","8月8日"
"モリア","3億2000万ベリー","月光海賊団","9月6日"
"トラファルガー・ロー","30億ベリー","ハート海賊団","10月6日"
"EUSTASS・キッド","30億ベリー","キッド海賊団","1月10日"
"ジュラキュール・ミホーク","35億9000万ベリー","王下七武海（原）","3月9日"
"ハンコック","16億5900万ベリー","九蛇海賊団","9月2日"
"バーソロミュー・くま","29億6000万ベリー","王下七武海","9月9日"
"ガープ","-","海軍","5月2日"
"センゴク","-","海軍","5月9日"
"赤犬","-","海軍","8月16日"
"青キジ","-","海軍","9月21日"
"黄猿","-","海軍","11月23日"
"藤虎","-","海軍","8月10日"
"スモーカー","-","海軍","3月14日"
"タシギ","-","海軍","10月6日"
"コビ","-","海軍","5月6日"
"サボ","6億2000万ベリー","革命軍","3月20日"
"モンキー・D・ドラゴン","-","革命軍","10月5日"
"エンポリオ・イワンコフ","5億0000万ベリー","革命軍","1月8日"
"ゴール・D・ロジャー","55億6480万ベリー","ロジャー海賊団","12月31日"
"シルバー・レイリー","50億4600万ベリー","ロジャー海賊団","5月13日"
"ボニー","3億2000万ベリー","ボニー海賊団","9月1日"
"ベックマン","-","赤髪海賊団","-"
"ラッキー","-","赤髪海賊団","-"
